Index,Date,xom,rr,pc,chev,barrel
1,02-01-2020,61.174892,418.58,44.31,108.0606,61.17
2,03-01-2020,60.683086,417.39,44.76,107.6868,63
3,06-01-2020,61.14901,414.09,46.27,107.322,63.27
4,07-01-2020,60.648567,421.6,45.83,105.9515,62.7
5,08-01-2020,59.733967,433.79,44.89,104.7412,59.65
6,09-01-2020,60.191265,440.8,45.56,104.5722,59.56
7,10-01-2020,59.656311,435.62,44.62,103.62,59.02
8,13-01-2020,60.225773,434.7,44.81,103.8158,58.17
9,14-01-2020,59.708076,440.61,44.43,103.4954,58.34
10,15-01-2020,59.613167,444.46,44.22,103.3441,57.86
11,16-01-2020,59.380207,444.19,44.42,104.0204,58.52
12,17-01-2020,59.155869,445.38,44.17,102.8547,58.55
13,21-01-2020,58.310291,438.05,42.09,100.8346,58.25
14,22-01-2020,57.973789,433.42,42.29,100.4697,56.76
15,23-01-2020,57.611385,434.25,41.72,100.6477,55.51
16,24-01-2020,57.223122,429.02,41.05,99.53533,54.09
17,27-01-2020,55.85984,437.64,39.99,98.23608,53.09
18,28-01-2020,55.782188,441.3,39.9,98.88571,53.33
19,29-01-2020,55.316261,440.84,39.76,98.21829,53.29
20,30-01-2020,55.902985,440.2,39.33,99.13489,52.19
21,31-01-2020,53.599216,439.7,38.16,95.34391,51.58
22,03-02-2020,52.399883,439.74,37.35,94.5786,50.06
23,04-02-2020,51.744125,436.99,38.09,95.08584,49.59
24,05-02-2020,54.125542,435.71,38.5,98.1382,50.87
25,06-02-2020,53.392136,424.72,39.01,97.43517,50.94
26,07-02-2020,53.038376,412.26,38.45,96.94573,50.34
27,10-02-2020,52.47823,416.2,38.21,97.70215,49.59
28,11-02-2020,52.977108,426.73,38.68,98.9658,50
29,12-02-2020,53.624775,424.17,39.55,99.70442,51.13
30,13-02-2020,53.327198,421.88,38.61,99.36626,51.41
31,14-02-2020,53.082138,425.73,38.5,99.10517,52.03
32,18-02-2020,52.408218,414.27,38.32,99.24922,52.1
33,19-02-2020,52.810818,426.6,38.47,99.69936,53.31
34,20-02-2020,52.390713,430.95,37.98,98.86209,53.77
35,21-02-2020,51.751801,423.02,37.61,98.14185,53.36
36,24-02-2020,49.327438,406.62,35.75,94.27055,51.36
37,25-02-2020,47.436962,406.49,34.91,90.66934,49.78
38,26-02-2020,46.395451,386.65,34.98,88.26553,48.67
39,27-02-2020,43.603497,369.57,34.44,84.74536,47.17
40,28-02-2020,45.021351,361.41,33.87,84.03413,44.83
41,02-03-2020,47.156891,371.95,34.78,86.9601,46.78
42,03-03-2020,44.898819,381.06,34.1,84.97944,47.27
43,04-03-2020,45.87907,376.16,34.2,88.7067,46.78
44,05-03-2020,43.857311,359.99,33.93,87.50029,45.9
45,06-03-2020,41.739273,299.12,32.38,85.81673,41.14
46,09-03-2020,36.636734,287.71,29.5,72.6273,31.05
47,10-03-2020,37.993332,254.23,31.14,76.50761,34.47
48,11-03-2020,36.741768,254.23,29.84,74.75202,33.13
49,12-03-2020,32.540707,254.23,27.07,68.65698,31.56
50,13-03-2020,33.363415,228.25,29.48,75.10314,31.72
51,16-03-2020,30.186363,214.37,26.57,62.751,28.96
52,17-03-2020,32.216873,242.22,26.71,63.6423,26.96
53,18-03-2020,28.98731,263.62,24.79,49.56158,20.48
54,19-03-2020,30.133854,251.02,25.72,51.66829,25.09
55,20-03-2020,28.65473,273.46,25.54,53.4689,19.48
56,23-03-2020,27.525692,279.19,26.5,48.81434,23.33
57,24-03-2020,31.017817,289.68,28.04,59.91506,21.03
58,25-03-2020,32.636986,277.4,29.11,62.36387,20.75
59,26-03-2020,33.97607,275.75,28.85,68.76502,16.6
60,27-03-2020,32.339409,287.99,27.69,61.92273,15.48
61,30-03-2020,32.820778,294.08,29.48,64.77668,14.1
62,31-03-2020,33.232132,311.94,31.21,65.23583,20.51
63,01-04-2020,32.847031,316.06,30.65,61.72466,20.28
64,02-04-2020,35.358913,314.23,35.22,68.53095,25.18
65,03-04-2020,34.317406,311.03,32.93,67.62163,28.36
66,06-04-2020,35.420185,312.86,33.38,72.37522,26.21
67,07-04-2020,36.094109,323.39,32.59,72.85239,23.54
68,08-04-2020,38.378429,315.15,33.05,77.40792,24.97
69,09-04-2020,37.748272,308.46,32.96,75.90441,22.9
70,13-04-2020,37.424435,303.19,32.36,76.4446,22.36
71,14-04-2020,37.13562,281.48,32.55,76.17449,20.15
72,15-04-2020,35.428936,280.11,30.97,74.26585,19.96
73,16-04-2020,34.264896,287.57,30.73,72.01509,19.82
74,17-04-2020,37.827042,282.08,31.31,78.47926,18.31
75,20-04-2020,36.041584,278.5,30.7,75.23819,7.43
76,21-04-2020,35.849037,294.95,29.43,73.5006,8.91
77,22-04-2020,36.873051,306.9,30.19,76.02145,13.64
78,23-04-2020,38.028339,296.83,30.36,78.14616,15.06
79,24-04-2020,38.273403,295.82,30.43,78.33522,15.99
80,27-04-2020,38.457199,297.83,30.78,80.76603,12.17
81,28-04-2020,39.358677,309.61,30.92,80.94611,12.4
82,29-04-2020,41.537975,307.5,31.78,85.18651,15.04
83,30-04-2020,40.671509,303.24,31.07,82.82774,19.23
84,01-05-2020,37.757023,313.77,29.78,80.52296,19.72
85,04-05-2020,39.279911,308.41,28.62,82.32357,20.47
86,05-05-2020,39.236145,314.23,29.42,83.62899,24.56
87,06-05-2020,38.500969,318.81,29.65,81.07213,23.88
88,07-05-2020,38.719769,321.65,29.44,83.40392,23.68
89,08-05-2020,40.417698,318.81,30.36,85.95177,24.73
90,11-05-2020,40.0326,318.03,30.55,84.06113,24.02
91,12-05-2020,39.363453,320.69,29.79,82.01746,25.76
92,13-05-2020,37.409554,343.59,29.13,79.85673,25.37
93,14-05-2020,37.73967,344.92,29.03,81.07213,27.4
94,15-05-2020,37.472008,348.36,28.47,80.27087,29.44
95,18-05-2020,40.451927,336.22,30.97,84.54613,31.83
96,19-05-2020,39.202858,333.93,30.66,81.86952,32.3
97,20-05-2020,40.478691,342.59,30.81,84.95721,33.56
98,21-05-2020,39.756012,343,30.12,84.08024,34.3
99,22-05-2020,39.791706,343.46,28.87,82.47245,33.49
100,26-05-2020,40.960476,345.79,29.63,85.23127,34.7
101,27-05-2020,41.254902,344.65,29.4,85.7794,32.8
102,28-05-2020,40.184273,345.26,29.39,83.01143,33.67
103,29-05-2020,40.567913,344.38,30.17,83.76963,35.57
